"gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"USA300HOU_RS00390",150410.451971101,6.08424595056643,0.155196475764128,39.2035058825268,0,0
"USA300HOU_RS00395",49770.6323255786,6.18538257338903,0.158431831278657,39.0412868643164,0,0
"USA300HOU_RS02015",332306.185316111,6.51185008049406,0.157090301110623,41.4529097879086,0,0
"USA300HOU_RS02020",183799.032708026,6.9626144628066,0.151055094834796,46.0932116882346,0,0
"USA300HOU_RS02745",43996.0360786595,7.11678397665383,0.17236366498524,41.289351658096,0,0
"USA300HOU_RS02750",36796.2130059822,7.38163196961129,0.161060654272678,45.8313795069657,0,0
"USA300HOU_RS02755",78159.7389327925,7.32858381813935,0.169271900886414,43.2947451984781,0,0
"USA300HOU_RS02760",293886.31063199,7.05427935690755,0.176791314268377,39.901730388173,0,0
"USA300HOU_RS03105",55910.4145838767,7.56340072108483,0.160793353225691,47.0380184836917,0,0
"USA300HOU_RS03110",12944.5951719934,7.87692635104502,0.183268377168335,42.9802810105638,0,0
"USA300HOU_RS04835",252249.677669396,6.85471324093666,0.165019717516473,41.5387527266394,0,0
"USA300HOU_RS11965",10472.3024463731,6.37635584949656,0.161349404136729,39.5189302595327,0,0
"USA300HOU_RS13375",16345.0567225683,5.8480018316137,0.147710008092214,39.5911008816874,0,0
"USA300HOU_RS13385",5106.87700674892,7.8160622958285,0.190812582919885,40.9619857151149,0,0
"USA300HOU_RS13390",6363.89581072112,8.15474345136849,0.196365327800479,41.5284283774083,0,0
"USA300HOU_RS15595",63025.7625643275,9.71446247522497,0.195245725425606,49.7550584221444,0,0
"USA300HOU_RS13965",46057.2135928189,10.0139153298898,0.213401987679458,46.9251267937172,0,0
"USA300HOU_RS14585",139791.439027595,7.84599406461223,0.188654492095731,41.5892247115476,0,0
"USA300HOU_RS13870",4541.53814462663,6.24622114951914,0.163721056627326,38.1516054085655,1.7887449081424e-318,2.69912192711872e-316
"USA300HOU_RS13885",33449.2388512412,5.9328716297705,0.158465548268304,37.4395046406258,8.90078757994237e-307,1.27592789958474e-304
"USA300HOU_RS11960",5064.78226904697,6.4245036145902,0.171658286174892,37.4261199837722,1.46952185048158e-306,2.00624721206223e-304
"USA300HOU_RS01080",34657.1400411734,6.31910458718608,0.173496087435667,36.4221734367884,1.89761252571905e-290,2.47293414147115e-288
"USA300HOU_RS04165",112614.763368459,5.64267468486527,0.155101897175971,36.3804362654788,8.6800638754181e-290,1.08198883177494e-287
"USA300HOU_RS13640",15034.5176091781,5.8549872610814,0.164750920294228,35.5384191519235,1.25441815859316e-276,1.49850702528608e-274
"USA300HOU_RS00890",39572.3173655281,7.14458461268178,0.204954654668224,34.8593430300339,3.07345613623254e-266,3.52463949703148e-264
"USA300HOU_RS13380",3227.38525836517,7.02576659229749,0.201619182255374,34.8467170321054,4.77416295233933e-266,5.26443276321418e-264
"USA300HOU_RS11550",197571.037535855,7.50765259604546,0.216179813126042,34.728740336491,2.90250891224962e-264,3.08203446348877e-262
"USA300HOU_RS13675",27409.8225944316,6.80337807361721,0.197088692482145,34.5193729175181,4.10828820156426e-261,4.20659366924454e-259
"USA300HOU_RS06785",92626.3977467453,5.07918714390383,0.148277974979402,34.2544949417431,3.73854858426932e-257,3.69600647968971e-255
"USA300HOU_RS13880",83187.2169003868,5.71500871266763,0.167778850684002,34.06274801245,2.62835142735736e-254,2.51182784741119e-252
"USA300HOU_RS04685",3797.60890750184,5.34506374182945,0.158717534015405,33.6765800639938,1.27329350238049e-248,1.17759111978221e-246
"USA300HOU_RS13680",8063.69856869327,5.17161705729693,0.15568726297957,33.2179842995607,5.92135345416157e-242,5.30516261033789e-240
"USA300HOU_RS13065",7615.01210664147,6.4736675092316,0.194933451831692,33.2096284573109,7.81734901714148e-242,6.79161807034686e-240
"USA300HOU_RS00985",5673.32066007548,4.5901356340766,0.138863369442819,33.0550501006439,1.31625397644799e-239,1.10991180896365e-237
"USA300HOU_RS02025",9556.49344877523,5.04028365478864,0.153163449123277,32.9078751075386,1.69574190320223e-237,1.38905486756594e-235
"USA300HOU_RS03780",62948.9706858243,5.9315355223623,0.184399630386893,32.166743013081,5.15233231487076e-227,4.10326020742624e-225
"USA300HOU_RS01800",5195.58975522931,6.03851514454984,0.190010586092051,31.7798879985795,1.22758922097137e-221,9.51215755817545e-220
"USA300HOU_RS01795",8594.43370495361,5.86467972643871,0.184855957727625,31.7256733217114,6.87727869953687e-221,5.18872579778216e-219
"USA300HOU_RS00990",16754.976355716,4.40574761653967,0.139583415428204,31.5635464501569,1.16885256386342e-218,8.59256487332415e-217
"USA300HOU_RS01790",5545.17008010466,5.54799324624828,0.178374586747054,31.1030475104375,2.19049883740088e-212,1.57004004170708e-210
